район,рабочая_сила,доля_рабочей_силы,занятое_население,наемные_работники,самозанятые,безработное_население,уровень_безработицы,уровень_молодежной_безработицы,вне_рабочей_силы,доля_вне_рабочей_силы
Западно-Казахстанская область,357116.0,70.0,340153.0,251209.0,88944.0,16963.0,4.7,3.6,153305.0,30.0
Уральск г.а.,179022.0,66.3,170751.0,140406.0,30345.0,8271.0,4.6,3.4,91170.0,33.7
Акжаикский район ,18959.0,75.1,18069.0,10911.0,7158.0,890.0,4.7,4.2,6298.0,24.9
Бурлинский район ,32320.0,76.0,30889.0,26120.0,4769.0,1431.0,4.4,3.5,10212.0,24.0
Жангалинский район ,10881.0,72.7,10355.0,6296.0,4059.0,526.0,4.8,3.7,4094.0,27.3
Жанибекский район ,7766.0,76.3,7325.0,4493.0,2832.0,441.0,5.7,4.3,2411.0,23.7
Район Бәйтерек,34933.0,73.9,33292.0,19570.0,13722.0,1641.0,4.7,2.9,12309.0,26.1
Казталовский район ,13498.0,72.0,12739.0,6816.0,5923.0,759.0,5.6,4.2,5249.0,28.0
Каратобинский район,6846.0,72.8,6454.0,3985.0,2469.0,392.0,5.7,6.0,2564.0,27.2
Бокейординский район,7351.0,73.5,6939.0,3582.0,3357.0,412.0,5.6,4.7,2651.0,26.5
Сырымский район,9110.0,76.9,8669.0,4687.0,3982.0,441.0,4.8,3.4,2733.0,23.1
Таскалинский район ,8685.0,73.2,8260.0,5251.0,3009.0,425.0,4.9,4.3,3182.0,26.8
Теректинский район,21016.0,72.4,20013.0,14848.0,5165.0,1003.0,4.8,4.1,8012.0,27.6
Чингирлауский район ,6729.0,73.5,6398.0,4244.0,2154.0,331.0,4.9,4.4,2420.0,26.5
